"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","hidden_size","learning_rate","n_epochs","num_in","num_layers","num_pred","rid_of_top","RMSE","epoch","test_loss","train_loss"
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00013_d0.20","crashed","LSTM training with lr=0.00013168080571452774, dropout=0.2","","","2025-08-02T23:08:18.000Z","30","","64","0.2","32","0.00013168080571452774","500","110","2","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00032_d0.00","crashed","LSTM training with lr=0.0003150788455818746, dropout=0","","","2025-08-03T00:47:29.000Z","31","","32","0","32","0.0003150788455818746","500","110","2","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00035_d0.00","crashed","LSTM training with lr=0.00034556866876672547, dropout=0","","","2025-08-03T00:01:02.000Z","31","","32","0","32","0.00034556866876672547","500","110","2","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n4_h32_e500_l0.00016_d0.50","crashed","LSTM training with lr=0.00015898409517591398, dropout=0.5","","","2025-08-02T23:43:48.000Z","30","","32","0.5","32","0.00015898409517591398","500","110","4","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00049_d0.00","crashed","LSTM training with lr=0.0004946660935320811, dropout=0","","","2025-08-03T00:56:46.000Z","30","","32","0","32","0.0004946660935320811","500","110","2","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n2_h128_e500_l0.00009_d0.30","crashed","LSTM training with lr=8.841415913263534e-05, dropout=0.3","","","2025-08-03T00:52:39.000Z","30","","32","0.3","128","0.00008841415913263534","500","110","2","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n2_h128_e500_l0.00032_d0.10","crashed","LSTM training with lr=0.00031969847315145035, dropout=0.1","","","2025-08-03T00:26:21.000Z","15","","128","0.1","128","0.00031969847315145035","500","110","2","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00062_d0.00","crashed","LSTM training with lr=0.0006168072164347276, dropout=0","","","2025-08-03T00:35:42.000Z","31","","32","0","32","0.0006168072164347276","500","110","2","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n2_h32_e500_l0.00023_d0.00","crashed","LSTM training with lr=0.0002275735031241299, dropout=0","","","2025-08-02T23:57:14.000Z","30","","32","0","32","0.0002275735031241299","500","110","2","12","4","","","",""
"VanillaLSTM_pred12_r4_i110_n3_h32_e500_l0.00018_d0.20","crashed","LSTM training with lr=0.0001836999906305285, dropout=0.2","","","2025-08-02T23:19:33.000Z","0","","256","0.2","32","0.0001836999906305285","500","110","3","12","4","","","",""
